x, y
0.001676, 0.245954
0.483955, 0.999228
0.001722, 0.411473
0.906580, 0.000845
0.640730, 0.001309
0.999229, 0.688960
0.464240, 0.998933
0.001356, 0.760736
0.125899, 0.000858
0.943425, 0.000836
0.125735, 0.001135
0.125735, 0.001135
0.686682, 0.000948
0.696417, 0.998249
0.000742, 0.948604
0.000963, 0.863306
0.533317, 0.998446
0.001664, 0.501581
0.753269, 0.998984
0.805715, 0.998736
0.998518, 0.546733
0.998236, 0.008594
0.638669, 0.998219
0.998839, 0.939284
0.001529, 0.059216
0.998248, 0.498957
0.998207, 0.383707
0.484088, 0.000820
0.999174, 0.749096
0.001652, 0.605878
0.694204, 0.001558
0.001322, 0.214296
0.000727, 0.223924
0.999294, 0.893851
0.001242, 0.561803
0.000965, 0.255773
0.866769, 0.001046
0.001010, 0.109256
0.839198, 0.001585
0.999108, 0.665819
0.999292, 0.053608
0.374086, 0.000800
0.934293, 0.001106
0.241348, 0.000695
0.029314, 0.001225
0.038502, 0.998241
0.001797, 0.018603
0.001433, 0.158212
0.314319, 0.998766
0.876032, 0.000723
0.001810, 0.748634
0.999321, 0.496195
0.001262, 0.115676
0.663742, 0.000674
0.999213, 0.286597
0.001824, 0.428820
0.563167, 0.998740
0.543180, 0.998871
0.755761, 0.998431
0.000667, 0.788790
0.251519, 0.999270
0.566788, 0.998981
0.851723, 0.001596
0.453493, 0.000723
0.000676, 0.481377
0.984227, 0.998407
0.283162, 0.998700
0.331671, 0.000835
0.998636, 0.436831
0.749207, 0.998374
0.749207, 0.998374
0.961166, 0.998163
0.961166, 0.998163
0.000683, 0.178927
0.741451, 0.000691
0.548177, 0.001090
0.998443, 0.339260
0.473455, 0.999267
0.524031, 0.001775
0.000908, 0.155759
0.000908, 0.155759
0.999234, 0.586602
0.998155, 0.056322
0.001722, 0.741618
0.001739, 0.383401
0.633846, 0.000654
0.633846, 0.000654
0.001107, 0.081837
0.000681, 0.676047
0.418152, 0.001344
0.001498, 0.143196
0.001684, 0.911675
0.380916, 0.001757
0.380916, 0.001757
0.001748, 0.825897
0.999092, 0.511756
0.999092, 0.511756
0.576659, 0.999205
0.546624, 0.999235
0.001863, 0.011260
0.246810, 0.998499
0.998135, 0.406256
0.544353, 0.998874
0.308659, 0.001859
0.363177, 0.001479
0.998995, 0.583183
0.516683, 0.998310
0.998968, 0.704328
0.998132, 0.476231
0.000994, 0.449314
0.640729, 0.000914
0.640729, 0.000914
0.420659, 0.998939
0.746526, 0.001808
0.998556, 0.154342
0.685637, 0.001136
0.363308, 0.999191
0.001029, 0.040665
0.000669, 0.153981
0.999357, 0.018916
0.999357, 0.018916
0.141346, 0.998127
0.834176, 0.000784
0.999016, 0.945677
0.999016, 0.945677
0.001661, 0.949232
0.999151, 0.128260
0.998327, 0.104225
0.406291, 0.001885
0.001065, 0.101859
0.598115, 0.001193
0.000680, 0.365964
0.000724, 0.458389
0.141414, 0.000633
0.141414, 0.000633
0.313309, 0.998287
0.383788, 0.998111
0.868812, 0.000612
0.699010, 0.001837
0.501894, 0.998784
0.140960, 0.998174
0.448131, 0.001062
0.448131, 0.001062
0.023526, 0.000643
0.123394, 0.000708
0.790777, 0.000805
0.000638, 0.998968
0.001271, 0.475600
0.998719, 0.279400
0.001754, 0.244163
0.588477, 0.000658
0.998155, 0.649017
0.000726, 0.250860
0.998361, 0.070723
0.999394, 0.823634
0.095612, 0.001102
0.796907, 0.998733
0.000632, 0.703977
0.695682, 0.999083
0.999378, 0.546454
0.490691, 0.998393
0.001440, 0.174389
0.001440, 0.174389
0.001344, 0.094411
0.999383, 0.236465
0.811256, 0.998081
0.753163, 0.000929
0.213890, 0.000595
0.999160, 0.048219
0.441567, 0.000658
0.765887, 0.999315
0.001020, 0.926882
0.154400, 0.998924
0.998460, 0.474359
0.999354, 0.766554
0.001177, 0.561924
0.001270, 0.274428
0.333323, 0.999278
0.998503, 0.930617
0.000932, 0.439352
0.998664, 0.849426
0.001932, 0.208749
0.998514, 0.345610
0.998514, 0.345610
0.999366, 0.231544
0.073467, 0.998129
0.164429, 0.001173
0.001694, 0.940730
0.998762, 0.250563
0.000955, 0.558127
0.000955, 0.558127
0.303584, 0.000580
0.001883, 0.105976
0.146515, 0.998112
0.134442, 0.001239
0.998362, 0.343175
0.999114, 0.388158
0.999299, 0.038323
0.998057, 0.893681
0.544445, 0.001211
0.998253, 0.029238
0.001945, 0.138692
0.001143, 0.463060
0.179291, 0.999192
0.090913, 0.000636
0.999314, 0.616666
0.001043, 0.078081
0.000773, 0.244264
0.690778, 0.001771
0.690778, 0.001771
0.124187, 0.998200
0.998950, 0.485576
0.890581, 0.001469
0.890581, 0.001469
0.000568, 0.011422
0.183730, 0.999454
0.998927, 0.503068
0.865740, 0.001736
0.673120, 0.999065
0.999028, 0.490602
0.016957, 0.998778
0.051958, 0.001276
0.051958, 0.001276
0.078134, 0.999101
0.001774, 0.133272
0.998072, 0.456459
0.734228, 0.000726
0.999445, 0.716397
0.999095, 0.491872
0.998410, 0.653123
0.998410, 0.653123
0.654072, 0.001887
0.000596, 0.325962
0.001037, 0.434432
0.119443, 0.998576
0.001398, 0.940551
0.708321, 0.000678
0.999408, 0.326532
0.158410, 0.998119
0.000533, 0.513790
0.156047, 0.999441
0.350906, 0.998115
0.000634, 0.971628
0.611970, 0.001183
0.178641, 0.000535
0.561221, 0.999474
0.059431, 0.999005
0.153898, 0.998037
0.934004, 0.000568
0.001433, 0.036956
0.001433, 0.036956
0.586413, 0.998038
0.586413, 0.998038
0.001041, 0.218050
0.001923, 0.680964
0.998260, 0.701794
0.999433, 0.596516
0.456782, 0.999255
0.001707, 0.788175
0.755533, 0.998922
0.001343, 0.944481
0.223499, 0.998055
0.001525, 0.370564
0.998619, 0.118022
0.771322, 0.998013
0.771322, 0.998013
0.001291, 0.911989
0.631705, 0.000664
0.631705, 0.000664
0.000815, 0.290649
0.901097, 0.000523
0.001029, 0.438040
0.001968, 0.581446
0.000713, 0.684266
0.001190, 0.240507
0.998013, 0.651360
0.001597, 0.721910
0.999447, 0.289015
0.000653, 0.343302
0.001703, 0.911846
0.639307, 0.000749
0.995934, 0.999430
0.065527, 0.001048
0.670527, 0.998548
0.728485, 0.001953
0.030970, 0.998053
0.001198, 0.254500
0.001313, 0.440500
0.998394, 0.229416
0.000788, 0.358152
0.083169, 0.999234
0.999487, 0.536074
0.999111, 0.358082
0.000497, 0.838855
0.001459, 0.080518
0.001668, 0.319386
0.000745, 0.251821
0.000745, 0.251821
0.323968, 0.000519
0.323968, 0.000519
0.000974, 0.413037
0.001616, 0.338076
0.001246, 0.215483
0.000577, 0.143382
0.000577, 0.143382
0.000771, 0.305650
0.997982, 0.941268
0.001251, 0.094519
0.999351, 0.895771
0.793197, 0.999285
0.000804, 0.434378
0.500674, 0.998240
0.616542, 0.000538
0.694396, 0.000830
0.190499, 0.998933
0.176776, 0.999316
0.123214, 0.000692
0.533047, 0.999073
0.001133, 0.160483
0.001596, 0.430553
0.001412, 0.477011
0.000566, 0.313376
0.999170, 0.114406
0.999473, 0.129040
0.000916, 0.236954
0.875478, 0.001366
0.002016, 0.148902
0.114053, 0.000528
0.001259, 0.934534
0.000738, 0.188154
0.575543, 0.999095
0.001974, 0.564060
0.000534, 0.703422
0.133298, 0.001896
0.366356, 0.000467
0.227981, 0.998570
0.990503, 0.000993
0.843530, 0.999509
0.001684, 0.496911
0.001949, 0.386620
0.231735, 0.998124
0.804117, 0.998048
0.170466, 0.998861
0.999294, 0.074327
0.842974, 0.001417
0.842974, 0.001417
0.999229, 0.151883
0.244301, 0.000678
0.826603, 0.000536
0.246380, 0.999536
0.253101, 0.000787
0.000539, 0.220883
0.000539, 0.220883
0.056089, 0.997966
0.000546, 0.625868
0.293333, 0.001935
0.001441, 0.557971
0.998790, 0.702949
0.001449, 0.892973
0.999001, 0.029512
0.998578, 0.002965
0.001573, 0.350513
0.999325, 0.369313
0.108149, 0.000714
0.001568, 0.236990
0.383639, 0.000451
0.121597, 0.000521
0.401966, 0.000876
0.401966, 0.000876
0.999546, 0.303607
0.000995, 0.594519
0.911905, 0.999227
0.911905, 0.999227
0.001859, 0.189284
0.999112, 0.231975
0.288591, 0.000454
0.256789, 0.999357
0.997939, 0.976286
0.522035, 0.998542
0.090844, 0.001954
0.001945, 0.121671
0.001676, 0.220557
0.001949, 0.443334
0.001949, 0.443334
0.768085, 0.999221
0.998174, 0.003174
0.282997, 0.000936
0.999563, 0.523684
0.724441, 0.999188
0.999532, 0.636491
0.469568, 0.001237
0.001230, 0.177068
0.001749, 0.555600
0.361676, 0.998048
0.000964, 0.722980
0.001715, 0.420572
0.368030, 0.001648
0.001021, 0.232960
0.717044, 0.998532
0.001714, 0.248070
0.999268, 0.989391
0.679131, 0.999482
0.295433, 0.998630
0.000939, 0.984515
0.285541, 0.998327
0.295425, 0.998704
0.283024, 0.999145
0.304529, 0.998472
0.001281, 0.169577
0.809575, 0.001187
0.001422, 0.515440
0.998039, 0.184177
0.013108, 0.998225
0.206833, 0.999343
0.000454, 0.656492
0.001978, 0.065845
0.998726, 0.522083
0.001439, 0.750437
0.998341, 0.028022
0.513917, 0.997931
0.917915, 0.001245
0.654363, 0.999321
0.000417, 0.503848
0.000650, 0.798163
0.999569, 0.833935
0.999569, 0.833935
0.591404, 0.002075
0.000470, 0.939062
0.876365, 0.000417
0.120768, 0.998061
0.120768, 0.998061
0.999583, 0.873862
0.999583, 0.873862
0.001164, 0.482087
0.000815, 0.434470
0.646159, 0.999587
0.965608, 0.999295
0.997917, 0.263878
0.997917, 0.263878
0.179336, 0.998142
0.179336, 0.998142
0.002037, 0.230944
0.622052, 0.999021
0.001751, 0.150565
0.000569, 0.438239
0.999413, 0.531784
0.999146, 0.780496
0.631412, 0.000414
0.999600, 0.956181
0.480962, 0.997947
0.043413, 0.997965
0.998414, 0.190464
0.000430, 0.073995
0.000586, 0.521791
0.999039, 0.132057
0.226835, 0.999377
0.481068, 0.002088
0.481068, 0.002088
0.976811, 0.000599
0.999597, 0.216398
0.999597, 0.216398
0.099355, 0.999364
0.999179, 0.156997
0.002085, 0.208964
0.000595, 0.450689
0.002002, 0.520825
0.527909, 0.001055
0.240386, 0.001284
0.001226, 0.705386
0.263376, 0.000470
0.001931, 0.895715
0.001931, 0.895715
0.999246, 0.086962
0.973766, 0.000382
0.001387, 0.360391
0.854476, 0.998271
0.000695, 0.380579
0.001990, 0.654213
0.409054, 0.000432
0.409054, 0.000432
0.244444, 0.998218
0.137015, 0.999174
0.001561, 0.717930
0.997968, 0.681648
0.999498, 0.414209
0.584523, 0.000833
0.997889, 0.078928
0.997889, 0.078928
0.039629, 0.001220
0.001419, 0.009614
0.108273, 0.999491
0.964576, 0.000941
0.997875, 0.203863
0.249248, 0.999479
0.001752, 0.490523
0.762868, 0.001315
0.001077, 0.242117
0.002133, 0.048803
0.652944, 0.001617
0.020438, 0.998395
0.001969, 0.740730
0.237093, 0.998474
0.002009, 0.250790
0.814253, 0.999482
0.999369, 0.808112
0.999369, 0.808112
0.001627, 0.830443
0.972122, 0.998565
0.405542, 0.001793
0.001565, 0.494584
0.001565, 0.494584
0.476299, 0.002142
0.140421, 0.000916
0.997856, 0.666252
0.999166, 0.045458
0.999053, 0.067092
0.999053, 0.067092
0.998147, 0.875588
0.000611, 0.773122
0.821734, 0.997995
0.998274, 0.582990
0.269646, 0.001189
0.791719, 0.999516
0.685565, 0.000669
0.685565, 0.000669
0.997866, 0.693587
0.721686, 0.997962
0.001249, 0.339651
0.001249, 0.339651
0.960680, 0.998052
0.998982, 0.107121
0.912017, 0.000775
0.002103, 0.435954
0.002103, 0.435954
0.014514, 0.999232
0.999531, 0.263295
0.002152, 0.576315
0.653448, 0.000397
0.998500, 0.499622
0.067043, 0.999191
0.025654, 0.999434
0.320917, 0.997905
0.176724, 0.997976
0.999539, 0.590796
0.001769, 0.134499
0.001869, 0.296919
0.000340, 0.223688
0.998077, 0.303134
0.763885, 0.000348
0.174657, 0.998646
0.449424, 0.999367
0.470804, 0.997952
0.573127, 0.999419
0.573127, 0.999419
0.389077, 0.000395
0.030550, 0.999340
0.258169, 0.001958
0.713795, 0.000334
0.001271, 0.750333
0.931604, 0.999597
0.396799, 0.000513
0.650333, 0.998682
0.000700, 0.216988
0.001396, 0.685342
0.999669, 0.733680
0.999669, 0.733680
0.386059, 0.002152
0.001471, 0.397147
0.823482, 0.002134
0.125323, 0.001228
0.998078, 0.243111
0.214643, 0.001505
0.998917, 0.960335
0.415668, 0.998025
0.000841, 0.447086
0.999630, 0.213448
0.998795, 0.519680
0.164178, 0.000422
0.000552, 0.415631
0.001793, 0.487010
0.998574, 0.104668
0.435814, 0.000422
0.132814, 0.998732
0.001690, 0.012922
0.999376, 0.205551
0.150825, 0.997913
0.999137, 0.794606
0.999137, 0.794606
0.001989, 0.460670
0.002139, 0.574059
0.000332, 0.258543
0.000833, 0.399594
0.000313, 0.356164
0.999260, 0.089543
0.002032, 0.794277
0.451992, 0.001833
0.001255, 0.202806
0.001135, 0.379687
0.001135, 0.379687
0.002101, 0.404161
0.750447, 0.999249
0.001472, 0.175330
0.001165, 0.039693
0.477973, 0.000708
0.000914, 0.372864
0.000914, 0.372864
0.998173, 0.287999
0.001680, 0.007095
0.996642, 0.000386
0.893092, 0.000565
0.936303, 0.002198
0.534677, 0.998536
0.534677, 0.998536
0.928913, 0.002188
0.002101, 0.163322
0.920542, 0.001888
0.001959, 0.211887
0.001959, 0.211887
0.001971, 0.204374
0.000650, 0.519491
0.869458, 0.000611
0.001774, 0.799550
0.001598, 0.842860
0.626754, 0.000435
0.835894, 0.002140
0.512193, 0.998921
0.002150, 0.094080
0.658880, 0.997800
0.000391, 0.834177
0.499028, 0.002169
0.120555, 0.998085
0.260905, 0.000352
0.998155, 0.655494
0.001453, 0.357190
0.501603, 0.999647
0.999362, 0.883005
0.806932, 0.998066
0.997783, 0.108790
0.001727, 0.769592
0.999699, 0.131441
0.770944, 0.999669
0.507085, 0.001742
0.999654, 0.160897
0.999011, 0.447815
0.029705, 0.001069
0.416726, 0.000403
0.001456, 0.577201
0.001058, 0.307205
0.703008, 0.998119
0.000453, 0.365689
0.000453, 0.365689
0.002222, 0.931325
0.533892, 0.000286
0.533892, 0.000286
0.254107, 0.997843
0.920664, 0.000471
0.727039, 0.998175
0.001292, 0.092226
0.043124, 0.002002
0.019025, 0.000311
0.000503, 0.016884
0.000602, 0.845515
0.414282, 0.000425
0.000311, 0.593463
0.719644, 0.999156
0.999407, 0.094480
0.782076, 0.999284
0.859095, 0.999671
0.001928, 0.144465
0.001141, 0.172771
0.001365, 0.977771
0.001692, 0.222869
0.973116, 0.999505
0.999250, 0.762899
0.851319, 0.997766
0.235368, 0.999200
0.168085, 0.001985
0.168085, 0.001985
0.699741, 0.998729
0.000365, 0.908298
0.999738, 0.563641
0.690309, 0.001572
0.000371, 0.363284
0.001277, 0.425255
0.419419, 0.000512
0.419419, 0.000512
0.914656, 0.000834
0.029268, 0.997898
0.747781, 0.998990
0.780350, 0.999185
0.999281, 0.307902
0.691351, 0.002246
0.691351, 0.002246
0.478339, 0.000337
0.649718, 0.000995
0.998104, 0.417015
0.002200, 0.359073
0.001010, 0.047224
0.001134, 0.619747
0.000271, 0.918526
0.002076, 0.401821
0.999096, 0.012807
0.001378, 0.575253
0.999651, 0.565801
0.999757, 0.318719
0.998637, 0.210248
0.001906, 0.389516
0.986201, 0.002258
0.002247, 0.191408
0.000626, 0.272044
0.002236, 0.908968
0.001584, 0.862797
0.574554, 0.998137
0.001621, 0.130309
0.299741, 0.001045
0.371488, 0.997766
0.155250, 0.998590
0.763940, 0.999746
0.999287, 0.192889
0.998850, 0.535239
0.935344, 0.999210
0.667914, 0.001829
0.998024, 0.261962
0.002111, 0.624292
0.001888, 0.595457
0.001025, 0.370257
0.001405, 0.005244
0.696763, 0.002130
0.001805, 0.867895
0.002264, 0.621141
0.212857, 0.999244
0.848036, 0.001979
0.997949, 0.030617
0.197128, 0.999272
0.001628, 0.727800
0.459045, 0.997771
0.001039, 0.162749
0.602746, 0.998548
0.777177, 0.001685
0.403028, 0.001978
0.403028, 0.001978
0.000254, 0.083994
0.997725, 0.201294
0.391881, 0.000442
0.165589, 0.002034
0.014696, 0.000853
0.455588, 0.002036
0.507276, 0.998800
0.000827, 0.852814
0.000827, 0.852814
0.998756, 0.357277
0.000326, 0.984204
0.999757, 0.488534
0.001256, 0.424780
0.846530, 0.000258
0.306685, 0.997816
0.001356, 0.465225
0.472197, 0.000842
0.002247, 0.463486
0.578020, 0.998019
0.997728, 0.303604
0.002144, 0.856768
0.000235, 0.508945
0.328676, 0.002281
0.731720, 0.000329
0.441005, 0.000245
0.441005, 0.000245
0.001057, 0.197733
0.105594, 0.999551
0.094377, 0.997926
0.094377, 0.997926
0.402786, 0.000869
0.126595, 0.999727
0.272237, 0.000929
0.999723, 0.521611
0.998670, 0.614785
0.642284, 0.001151
0.000665, 0.187892
0.064208, 0.997818
0.188056, 0.997977
0.410881, 0.999722
0.606382, 0.002282
0.015209, 0.001244
0.390992, 0.000242
0.390992, 0.000242
0.999597, 0.775645
0.999740, 0.376573
0.998993, 0.872263
0.562232, 0.000903
0.997899, 0.276852
0.667736, 0.001008
0.242174, 0.998268
0.884146, 0.002215
0.036762, 0.002160
0.633834, 0.000209
0.773800, 0.002294
0.002295, 0.691225
0.997784, 0.126649
0.918571, 0.997719
0.739316, 0.999631
0.997894, 0.279354
0.999287, 0.952150
0.847733, 0.998498
0.774797, 0.001179
0.663798, 0.999799
0.304797, 0.998832
0.396419, 0.000213
0.000396, 0.825634
0.587753, 0.998413
0.020202, 0.998857
0.335703, 0.000348
0.393470, 0.002267
0.387970, 0.001960
0.002219, 0.700832
0.262179, 0.998250
0.784715, 0.998320
0.000502, 0.791997
0.001585, 0.252748
0.999202, 0.559707
0.222951, 0.999444
0.222951, 0.999444
0.001069, 0.542707
0.998400, 0.064751
0.997693, 0.738837
0.569625, 0.998150
0.117285, 0.001009
0.001530, 0.127275
0.999710, 0.974211
0.518786, 0.002315
0.431243, 0.999815
0.692686, 0.998829
0.344626, 0.998139
0.002292, 0.186014
0.999032, 0.310219
0.612831, 0.998203
0.999608, 0.640611
0.002320, 0.286250
0.850758, 0.000300
0.000920, 0.310231
0.000870, 0.194752
0.999236, 0.922795
0.444227, 0.999711
0.002314, 0.481119
0.546898, 0.002106
0.242804, 0.001758
0.999777, 0.046567
0.000224, 0.238431
0.000857, 0.415249
0.000857, 0.415249
0.584424, 0.002087
0.314722, 0.998290
0.524072, 0.999776
0.714551, 0.999468
0.409211, 0.999722
0.998020, 0.237041
0.920396, 0.000594
0.001348, 0.552676
0.001543, 0.835210
0.001543, 0.835210
0.998375, 0.797736
0.002126, 0.669385
0.033996, 0.000196
0.526292, 0.997669
0.998840, 0.580170
0.001967, 0.044563
0.001494, 0.240193
0.999443, 0.922086
0.997718, 0.284090
0.464555, 0.999480
0.121069, 0.000178
0.330687, 0.000321
0.785287, 0.001756
0.999391, 0.692129
0.999391, 0.692129
0.000593, 0.275382
0.002057, 0.599482
0.000213, 0.170918
0.999554, 0.015514
0.999525, 0.779517
0.998433, 0.122294
0.002152, 0.173137
0.002214, 0.293239
0.086047, 0.999822
0.270160, 0.998801
0.002342, 0.531275
0.427138, 0.000613
0.199692, 0.998194
0.808029, 0.997927
0.162264, 0.999161
0.860852, 0.997730
0.001263, 0.772655
0.047330, 0.001068
0.904058, 0.002303
0.000194, 0.411548
0.237346, 0.998821
0.998904, 0.244838
0.999394, 0.742140
0.087175, 0.998155
0.503428, 0.999801
0.978075, 0.002119
0.608721, 0.002350
0.001746, 0.332766
0.001649, 0.732278
0.412660, 0.998918
0.002097, 0.206958
0.706310, 0.002353
0.122822, 0.001853
0.709800, 0.999101
0.469807, 0.000918
0.998871, 0.264851
0.504857, 0.001189
0.504857, 0.001189
0.504857, 0.001189
0.331822, 0.002200
0.000756, 0.517244
0.000756, 0.517244
0.706574, 0.002312
0.159461, 0.999603
0.418663, 0.000143
0.174838, 0.998526
0.160488, 0.999560
0.340752, 0.999745
0.997645, 0.833879
0.070504, 0.999576
0.412346, 0.001057
0.999787, 0.615843
0.260256, 0.000746
0.755273, 0.999287
0.999293, 0.570275
0.679355, 0.999687
0.001636, 0.345203
0.431829, 0.002205
0.431829, 0.002205
0.740790, 0.999768
0.740790, 0.999768
0.132825, 0.998123
0.489429, 0.997862
0.066197, 0.999868
0.000630, 0.332182
0.000630, 0.332182
0.001642, 0.050201
0.932863, 0.000567
0.497919, 0.999501
0.999213, 0.997271
0.999213, 0.997271
0.519863, 0.998615
0.519863, 0.998615
0.001764, 0.289747
0.916198, 0.002371
0.999554, 0.302968
0.347360, 0.001078
0.998658, 0.124870
0.205871, 0.999808
0.085483, 0.999571
0.999782, 0.105805
0.999782, 0.105805
0.002063, 0.284528
0.584334, 0.999712
0.999872, 0.086155
0.999872, 0.086155
0.000752, 0.812740
0.002354, 0.056475
0.999839, 0.178460
0.711945, 0.002137
0.000564, 0.217855
0.627182, 0.001885
0.001718, 0.422276
0.001718, 0.422276
0.154196, 0.999786
0.154196, 0.999786
0.998923, 0.580135
0.001557, 0.177337
0.558356, 0.997692
0.998059, 0.859643
0.002219, 0.004331
0.170164, 0.001563
0.997640, 0.176032
0.559054, 0.997660
0.842677, 0.000889
0.842677, 0.000889
0.432357, 0.998986
0.447734, 0.999250
0.001066, 0.012632
0.421280, 0.000117
0.001246, 0.077384
0.717179, 0.999403
0.113827, 0.002383
0.113827, 0.002383
0.998388, 0.044828
0.999887, 0.968802
0.387025, 0.000415
0.056753, 0.997728
0.002263, 0.259272
0.000637, 0.792211
0.000637, 0.792211
0.362354, 0.001540
0.362354, 0.001540
0.761458, 0.002373
0.001432, 0.645122
0.650366, 0.000524
